,white male,white female,black male,black female,other male,other female
2015,88.3,89.3,86.4,86.4,,
2014,88,89.6,85.3,85.3,,
2013,88,89.2,84.1,84.1,,
2012,87.6,88.5,84.3,84.3,,
2011,87.4,88.6,83.8,83.8,,
2010,86.9,88.2,83.6,83.6,,
2009,86.5,87.7,84,84,,
2008,86.3,87.8,81.8,81.8,,
2007,85.3,87.1,81.9,81.9,,
2006,85.5,86.7,80.1,80.1,,
2005,85.2,86.2,81,81,,
2004,85.3,86.3,80.4,80.4,,
2003,84.5,85.7,79.6,79.6,,
2002,84.3,85.2,78.5,78.5,,
2001,84.4,85.1,79.2,79.2,,
2000,84.8,85,78.7,78.7,,
1999,84.2,84.3,76.7,76.7,,
1998,83.6,83.8,75.2,75.2,,
1997,82.9,83.2,73.5,73.5,,
1996,82.7,82.8,74.3,74.3,,
1995,83,83,73.4,73.4,,
1994,82.1,81.9,71.7,71.7,,
1993,81.8,81.3,69.6,69.6,,
1992,81.1,80.7,67,67,,
1991,79.8,79.9,66.7,66.7,,
1990,79.1,79,65.8,65.8,,
1989,78.6,78.2,64.2,64.2,,
1988,77.7,77.6,63.7,63.7,,
1987,77.3,76.7,63,63,,
1986,76.5,75.9,61.5,61.5,,
1985,76,75.1,58.4,58.4,,
1984,75.4,74.6,57.1,57.1,,
1983,74.4,73.3,56.5,56.5,,
1982,73.4,72.3,55.7,55.7,,
1981,72.1,71.2,53.2,53.2,,
1980,71,70.1,51.1,51.1,,
1979,70.3,69.2,49.2,49.2,,
1978,68.6,67.2,47.9,47.9,,
1977,67.5,66.5,45.6,45.6,,
1976,66.7,65.5,42.3,42.3,,
1975,65,64.1,41.6,41.6,,
1974,63.6,63,39.9,39.9,,
1973,62.1,61.7,38.2,38.2,,
1972,60.3,60.5,35.7,35.7,,
1971,58.4,58.8,33.8,33.8,,
1970,57.2,57.6,32.4,32.4,,
1969,55.7,56.7,31.9,31.9,,
1968,54.3,55.5,28.9,28.9,,
1967,52.8,53.8,27.1,27.1,,
1966,51.3,53,25.8,25.8,,
1965,50.2,52.2,25.8,25.8,,
1964,49.3,51.2,23.7,23.7,,
1962,47.4,49.9,,,23.2,26.2
1959,44.5,47.7,,,19.6,21.6
1957,41.1,45.1,,,16.9,19.7
1952,(NA),(NA),,,14,15.7
1950,(NA),(NA),,,12.5,14.7
1947,33.2,36.7,,,12.7,14.5
1940,24.2,28.1,,,6.9,8.4
